run,epoch,step,car_AP_0.5,car_AP_1.0,car_AP_2.0,car_AP_4.0,car_ATE,car_ASE,car_AOE,car_AVE,car_AAE,mATE,mASE,mAOE,mAVE,mAAE,truck_AP_0.5,truck_AP_1.0,truck_AP_2.0,truck_AP_4.0,truck_ATE,truck_ASE,truck_AOE,truck_AVE,truck_AAE,construction_vehicle_AP_0.5,construction_vehicle_AP_1.0,construction_vehicle_AP_2.0,construction_vehicle_AP_4.0,construction_vehicle_ATE,construction_vehicle_ASE,construction_vehicle_AOE,construction_vehicle_AVE,construction_vehicle_AAE,bus_AP_0.5,bus_AP_1.0,bus_AP_2.0,bus_AP_4.0,bus_ATE,bus_ASE,bus_AOE,bus_AVE,bus_AAE,trailer_AP_0.5,trailer_AP_1.0,trailer_AP_2.0,trailer_AP_4.0,trailer_ATE,trailer_ASE,trailer_AOE,trailer_AVE,trailer_AAE,barrier_AP_0.5,barrier_AP_1.0,barrier_AP_2.0,barrier_AP_4.0,barrier_ATE,barrier_ASE,barrier_AOE,barrier_AVE,barrier_AAE,motorcycle_AP_0.5,motorcycle_AP_1.0,motorcycle_AP_2.0,motorcycle_AP_4.0,motorcycle_ATE,motorcycle_ASE,motorcycle_AOE,motorcycle_AVE,motorcycle_AAE,bicycle_AP_0.5,bicycle_AP_1.0,bicycle_AP_2.0,bicycle_AP_4.0,bicycle_ATE,bicycle_ASE,bicycle_AOE,bicycle_AVE,bicycle_AAE,pedestrian_AP_0.5,pedestrian_AP_1.0,pedestrian_AP_2.0,pedestrian_AP_4.0,pedestrian_ATE,pedestrian_ASE,pedestrian_AOE,pedestrian_AVE,pedestrian_AAE,traffic_cone_AP_0.5,traffic_cone_AP_1.0,traffic_cone_AP_2.0,traffic_cone_AP_4.0,traffic_cone_ATE,traffic_cone_ASE,traffic_cone_AOE,traffic_cone_AVE,traffic_cone_AAE,NDS,mAP,model,subset,experiment_name,gpu_type,max_epochs
20260505_192916,,1,0.47890000000000005,0.645,0.7183,0.7585000000000001,0.2866,0.1903,1.445,1.3481,0.41300000000000003,0.549,0.3699,1.4084,1.1477,0.45030000000000003,0.019700000000000002,0.0964,0.19290000000000002,0.2497,0.6573,0.3267,1.1498,0.8633000000000001,0.38920000000000005,0.0,0.0067,0.046200000000000005,0.0872,0.8566,0.5218,1.5851000000000002,0.12,0.4247,0.0,0.018500000000000003,0.07930000000000001,0.1182,0.8257,0.38880000000000003,1.7881,2.4435000000000002,0.6317,0.0,0.0,0.0,0.0018000000000000002,0.9705,0.3558,1.6538,1.0792,0.38930000000000003,0.07970000000000001,0.258,0.3311,0.37170000000000003,0.5161,0.3508,0.468,,,0.07060000000000001,0.132,0.1509,0.15940000000000001,0.40040000000000003,0.3654,1.4864,1.6268,0.41190000000000004,0.0219,0.031100000000000003,0.0339,0.0395,0.31570000000000004,0.4278,1.596,0.7761,0.15330000000000002,0.4369,0.5104000000000001,0.5438000000000001,0.5778,0.3685,0.3287,1.5035,0.9248000000000001,0.7889,0.41040000000000004,0.43420000000000003,0.4806,0.5437000000000001,0.2929,0.44270000000000004,,,,0.277269697270044,0.22837396062796703,bevfusion,20pct,bevfusion_nuscenes_20pct_10ep_run1,a100,10
20260505_192916,,2,0.6075,0.7335,0.7952,0.8204,0.23670000000000002,0.21610000000000001,0.4101,1.5372,0.42960000000000004,0.46130000000000004,0.35550000000000004,1.1933,1.202,0.4202,0.0975,0.224,0.30160000000000003,0.34390000000000004,0.47500000000000003,0.3275,0.7726000000000001,1.1386,0.39180000000000004,0.0,0.0155,0.0878,0.1729,0.8849,0.5358,1.7876,0.1452,0.3335,0.0281,0.18430000000000002,0.3033,0.3397,0.6241,0.3194,1.7754,2.7848,0.6772,0.0,0.0012000000000000001,0.032600000000000004,0.10690000000000001,0.9058,0.389,1.5413999999999999,0.6481,0.23190000000000002,0.215,0.4252,0.4939,0.5437000000000001,0.43110000000000004,0.34340000000000004,0.29860000000000003,,,0.2189,0.34800000000000003,0.364,0.3715,0.329,0.3415,1.3691,1.8671000000000002,0.40230000000000005,0.0935,0.12890000000000001,0.1328,0.1456,0.2973,0.3799,1.6531,0.5631,0.1042,0.6970000000000001,0.7282000000000001,0.7504000000000001,0.7715000000000001,0.199,0.3009,1.1315,0.9315,0.7907000000000001,0.5343,0.5571,0.5952000000000001,0.6495000000000001,0.2306,0.4011,,,,0.35080285386139604,0.348998499954483,bevfusion,20pct,bevfusion_nuscenes_20pct_10ep_run1,a100,10
20260506_014713,,3,0.6489,0.7792,0.8348,0.8556,0.2225,0.1834,0.2791,1.8067000000000002,0.45070000000000005,0.42160000000000003,0.334,0.9725,1.244,0.3501,0.11520000000000001,0.28150000000000003,0.4047,0.45530000000000004,0.5147,0.2972,0.483,1.2456,0.425,0.0,0.0286,0.1179,0.24680000000000002,0.8661000000000001,0.5088,1.561,0.1625,0.3118,0.0779,0.23290000000000002,0.3815,0.43660000000000004,0.5887,0.2974,1.5998999999999999,2.8494,0.6796,0.0,0.032600000000000004,0.067,0.14980000000000002,0.7276,0.3859,1.3562,0.6894,0.24350000000000002,0.2796,0.4651,0.5183,0.5557,0.3488,0.3245,0.1537,,,0.3139,0.4666,0.4818,0.4922,0.2967,0.3153,1.2218,1.9131,0.3637,0.19920000000000002,0.23420000000000002,0.23800000000000002,0.24980000000000002,0.2727,0.3277,1.4011,0.6992,0.0944,0.7491,0.7738,0.7923,0.8118000000000001,0.1767,0.29410000000000003,0.6963,0.5865,0.2323,0.577,0.5969,0.6285000000000001,0.6816,0.20170000000000002,0.4061,,,,0.395327138063075,0.406302118435628,bevfusion,20pct,bevfusion_nuscenes_20pct_10ep_run1,a100,10
20260506_092941,,5,0.6781,0.7967000000000001,0.844,0.8634000000000001,0.20980000000000001,0.18,0.2227,1.6515,0.3317,0.3835,0.3165,0.7716000000000001,1.1776,0.3119,0.1602,0.3295,0.40990000000000004,0.46540000000000004,0.43670000000000003,0.262,0.32370000000000004,1.2378,0.39780000000000004,0.0016,0.055,0.1671,0.2748,0.8044,0.4902,1.2674,0.1404,0.2933,0.1384,0.30360000000000004,0.4279,0.5108,0.5088,0.2571,0.9623,3.0101,0.5805,0.004,0.08,0.16720000000000002,0.2544,0.7209,0.3549,1.0552,0.6412,0.2349,0.3275,0.4898,0.5422,0.5719000000000001,0.3042,0.3312,0.1067,,,0.3849,0.5151,0.5326000000000001,0.5478000000000001,0.2642,0.289,1.0115,1.6659000000000002,0.3961,0.1857,0.2232,0.227,0.24150000000000002,0.2675,0.30510000000000004,1.4399,0.6687000000000001,0.0956,0.792,0.812,0.8281000000000001,0.8436,0.1494,0.295,0.5553,0.4048,0.1656,0.6302,0.6498,0.6759000000000001,0.7158,0.16870000000000002,0.40040000000000003,,,,0.44250383693413703,0.44171610781170506,bevfusion,20pct,bevfusion_nuscenes_20pct_10ep_run1,a100,10
20260506_172651,,7,0.6872,0.8056000000000001,0.8521000000000001,0.8674000000000001,0.202,0.1774,0.1698,1.0026,0.23,0.3708,0.3068,0.7059000000000001,1.0143,0.2722,0.1499,0.312,0.4015,0.46280000000000004,0.45,0.2858,0.31970000000000004,1.2117,0.38870000000000005,0.0017000000000000001,0.0555,0.153,0.23820000000000002,0.7817000000000001,0.4869,1.1544,0.1454,0.29560000000000003,0.16390000000000002,0.3433,0.4758,0.5385,0.5051,0.24480000000000002,0.839,2.7672,0.443,0.0013000000000000002,0.0648,0.1359,0.2331,0.6888000000000001,0.3123,1.0296,0.8012,0.3252,0.3219,0.455,0.5006,0.5294,0.2802,0.3173,0.09870000000000001,,,0.42150000000000004,0.5412,0.5524,0.5618000000000001,0.2431,0.272,0.8121,1.2732999999999999,0.2624,0.24760000000000001,0.28290000000000004,0.2919,0.30820000000000003,0.2456,0.2891,1.4111,0.5207,0.07680000000000001,0.7953,0.8143,0.8292,0.8456,0.1486,0.29560000000000003,0.5184,0.3925,0.1559,0.6217,0.6405000000000001,0.6667000000000001,0.7108,0.1628,0.38670000000000004,,,,0.457955573724566,0.44704325908571,bevfusion,20pct,bevfusion_nuscenes_20pct_10ep_run1,a100,10
20260507_011442,,9,0.6919000000000001,0.8067000000000001,0.8486,0.8667,0.19840000000000002,0.1734,0.1544,0.8964000000000001,0.2174,0.37,0.3014,0.6561,0.9719000000000001,0.259,0.15560000000000002,0.3154,0.4108,0.4591,0.452,0.26890000000000003,0.2579,1.1611,0.3687,0.0006000000000000001,0.0505,0.1544,0.2223,0.7915000000000001,0.48710000000000003,1.1498,0.14400000000000002,0.30510000000000004,0.16190000000000002,0.34640000000000004,0.4786,0.5368,0.5053,0.24020000000000002,0.8742000000000001,2.751,0.4641,0.0054,0.09340000000000001,0.1708,0.2856,0.6821,0.28140000000000004,0.748,0.8018000000000001,0.30720000000000003,0.32980000000000004,0.4505,0.4963,0.5265000000000001,0.2735,0.3094,0.09430000000000001,,,0.4178,0.5345,0.548,0.5571,0.2363,0.2701,0.8024,1.1467,0.19820000000000002,0.24150000000000002,0.2848,0.2922,0.30810000000000004,0.253,0.2963,1.3107,0.48910000000000003,0.066,0.7986000000000001,0.8166,0.8308000000000001,0.846,0.1461,0.29560000000000003,0.5133,0.3849,0.1457,0.616,0.6339,0.6585000000000001,0.7063,0.1613,0.3916,,,,0.46860040538513204,0.44887551740591003,bevfusion,20pct,bevfusion_nuscenes_20pct_10ep_run1,a100,10
